title,Контент,post_url,publishing_date,category
В Марий Эл сняли фильм про уникальную марийскую музыкальную группу,"
В Марий Эл сняли фильм про уникальную марийскую музыкальную группу В Йошкар-Оле состоялась премьера фильма об этно-панках. Группа, который посвящен фильм, называется ""У ЕҤ"". Об этом сообщает ГТРК ""Марий Эл"".  Группа ""У ЕҤ"" состоит из 8 человек. С помощью своего творчества они транслируют в массы, местами забытую, марийскую культуру. Для съемки фильма им пришлось примерить на себя роль актеров. Съемку фильма поддержал Президентский фонд культурных инициатив. Лента снята в жанре документального кино. Длительность фильма составляет 25 минут.  Во время съемки ребята побывали в музыкальной студии, на открытых площадках, в поселке Куженер, в деревнях Колокуда и Иван-Сола. Над созданием фильма трудились около 30 человек. ",https://pg12.ru/news/70896,"Wed, 21 Dec 22 11:10:00 +0300",Новости
Прожиточный минимум в Марий Эл увеличится в среднем на 400 рублей,"
Прожиточный минимум в Марий Эл увеличится в среднем на 400 рублей 20 декабря был подписан документ о величине прожиточного минимума в Республике Марий Эл. Соответствующий документ подписал глава республики. Об этом сообщает пресс-служба правительства Марий Эл.  В 2023 году прожиточный минимум по Республике Марий Эл будет составлять 12 650 рублей. Также он делится по социально-демографическим слоям населения республики. Для трудоспособного населения он будет составлять 13 789 рублей, для пенсионеров - 10 879 рублей, для детей - 13 000 рублей. В этом году прожиточный минимум по Республике Марий Эл составляет 12 250 рублей. Для трудоспособного населения он составляет - 13 352 рубля, для пенсионеров - 10 535 рублей, для детей - 12 585 рублей.  Совсем недавно мы писали о минимальном размере оплаты труда, который установили на 2023 год.",https://pg12.ru/news/70894,"Wed, 21 Dec 22 10:32:00 +0300",Новости
"Банк «Открытие»: 53% жителей ПФО надеются, что 2023 год будет для них лучше, чем 2022-й","Большинство жителей округа намерены экономить деньги и копить их в 2023 году. 70% не планируют брать кредиты. 53% надеются, что их личный 2023 год окажется лучше 2022-го.",https://pg12.ru/companies/70895,"Wed, 21 Dec 22 10:12:00 +0300",Новости компаний
Ветерану в Марий Эл отказали в положенной выплате из-за потери документов чиновниками,"
Ветерану в Марий Эл отказали в положенной выплате из-за потери документов чиновниками Жилищные права ветерана боевых действий успешно защитили. Об этом сообщает пресс-служба прокуратуры Республики Марий Эл.  Еще в сентябре 2004 году жилищные условия жителя Моркинского района признали непригодными для проживания. После чего его включили в список лиц, имеющих право на получение единовременной выплаты для приобретения жилого помещения. Из-за того, что органы местного самоуправления потеряли первичную документацию, мужчине отказали в предоставлении меры социальной поддержки. В это дело пришлось вмешаться прокуратуре. Она подала иск в суд. После всех разбирательств мужчине выдали свидетельство о предоставлении безвозмездной субсидии для обеспечения жильем.",https://pg12.ru/news/70892,"Wed, 21 Dec 22 10:00:00 +0300",Новости
Более ста семей в Йошкар-Оле переезжают из аварийных домов,"
Более ста семей в Йошкар-Оле переезжают из аварийных домов 20 декабря глава республики Марий Эл вручил переселенцам из аварийного жилья ключи от их новых квартир. Обладателями нового жилья стали 363 человека. Об этом сообщает пресс-служба администрации города.  Новый десятиэтажный дом расположен в микрорайоне Мирный. Уже совсем скоро туда въедут 134 семьи. Они проживали в 20 аварийных домах. Для того чтобы въехать в новые квартиры, новоселам необходимо только расставить мебель. Остальное там уже есть: покрытие пола, обои, сантехническое оборудование, электроплита - это лишь малая часть перечисленных удобств.  ",https://pg12.ru/news/70891,"Wed, 21 Dec 22 09:35:00 +0300",Новости
ВТБ финансирует ГК «Полаир» в рамках госпрограммы по поддержке приоритетного импорта,ВТБ в Республике Марий Эл открыл одному из крупнейших российских производителей промышленного холодильного оборудования ГК «Полаир» кредитные линии на общую сумму 700 млн рублей на срок до 5 лет.,https://pg12.ru/news/70893,"Wed, 21 Dec 22 09:31:00 +0300",Новости
В Йошкар-Олу привезут мощи трех святых,"25 декабря в 13:00 в Благовещенский кафедральный собор по благословению митрополита Йошкар-Олинского и Марийского Иоанна для поклонения верующим привезут мощи святых священномученика Киприана, мученицы Иустины и святителя Луки Крымского.",https://pg12.ru/news/70889,"Wed, 21 Dec 22 08:57:00 +0300",Новости
В Марий Эл приплывут 15 круизных теплоходов в 2023 году,"
В Марий Эл приплывут 15 круизных теплоходов в 2023 году 19 декабря в Марий Эл с рабочим визитом приезжал губернатор Ульяновской области Алексей Русских. Он встретился с Юрием Зайцевым, с которым обсудили рабочие вопросы. Об этом сообщает глава Республики Марий Эл Юрий Зайцев.  Во время встречи двух глав обсуждались вопросы сотрудничества двух регионов, в том числе туризм. Пришли к решению развивать речной туризм и договорились активизироваться по проекту “Великий Волжский путь”. Поэтому в следующем году Ульяновская область планирует принять у себя 15 круизных теплоходов.  Также во время встречи были подписаны соглашения между туроператорами “Нельсон” и “Симбирсити”. В рамках этих соглашений будут разработаны совместные туристические маршруты.  Еще была выдвинута идея развития познавательных программ для детей по Ульяновской области и Марий Эл. ",https://pg12.ru/news/70883,"Wed, 21 Dec 22 08:30:00 +0300",Новости
Романтическое свидание и приятные сюрпризы ждут этих знаков зодиака,"
Романтическое свидание и приятные сюрпризы ждут этих знаков зодиакаИх ждет невероятный день Рак Среда для Раков будет очень отличным днем недели. Сегодня вас ждет успешное завершение рабочих сделок, а все переговоры будут завершаться успешно. Не бойтесь рисковать и подходить к решению проблем нестандартно. Ищите новые пути для того, чтобы решить тот или иной вопрос. Во второй половине дня вас может ждать свидание со второй половинкой. Пришло время порадовать того, кого любишь. Звезды рекомендуют оставить детей на друзей или знакомых, а самим отправляться на свидание. Насладитесь временем ,которое вы проведете только друг с другом. Рыбы У представителей этого знака зодиака сегодня необычный день. Он наполнен яркими сюрпризами и незабываемыми авантюрами. Вы легки на подъем и поэтому просто находите общий язык с другими. Не бойтесь высказывать свое мнение и прямо говорите о том, что вам не нравится или наоборот, поддерживайте и боритесь за то, что вам дорого. Коллеги и начальство оценят такое рвение и желание работать. После обеда вас приятно удивит вторая половинка. После работы постарайтесь не задерживаться в делах, а посвятите все оставшееся свободное время разговорам с тем, кого любите. Это укрепит ваши взаимоотношения.",https://pg12.ru/news/70890,"Wed, 21 Dec 22 08:04:00 +0300",Новости
В Йошкар-Оле открылись три катка,"
В Йошкар-Оле открылись три каткаЖители города смогут покататься на коньках Йошкаролинцы смогут начать кататься на коньках. В Йошкар-Оле открылись три катка. Об этом сообщают в пресс-службе администрации города. На сегодняшний день в Йошкар-Оле уже работают следующие ледовые площадки: Каток в ЦПКиО. Он платный. Работает по будням с 15:00 до 20:00, по выходным с 10:00 до 21:00. Можно взять коньки напрокат. Каток в Парке Победы. Он платный. Пункт проката работает ежедневно: в будни – с 15:00 до 21:00, в выходные дни – с 10:00 до 22:00. Каток в селе Семеновка. Он бесплатный и находится на улице Молодежная, 12. Каток работает: в будние дни с 12:00 до 15:00 и с 17:00 до 19:30, в выходные и праздничные дни с 15:00 до 21:00. К выходным планируется открыть каток на площади Ленина, рядом с главной елкой столицы республики. Скоро также заработают эти катки: Во дворе по улице Кирова, 9. Во дворе по улице Воинов Интернационалистов, 22а; Более того, для детей и их родителей будут залиты катки: Во дворе по улице Звездная, 12; На площадке школы №6. ",https://pg12.ru/news/70887,"Wed, 21 Dec 22 07:33:00 +0300",Новости
