Заголовок,Контент,Ссылка,Дата публикации,Категория
Премьер-министр Японии Фумио Кисида прибыл на Украину,"Премьер-министр Японии Фумио Кисида прибыл с визитом в Киев. Японский телеканал NHK распространил кадры с железнодорожного вокзала, на которых главу японского правительства встречала, в частности, первый замглавы МИД Украины Эмине Джапарова и посол Японии на Украине Кунинори Мацуда.",https://www.kommersant.ru/doc/5887904,2023-03-21 13:50,Мир
Патрушев рассказал о попытках снизить уровень поддержки спецоперации среди россиян,"Секретарь Совета безопасности России Николай Патрушев сообщил, что «экстремисты ведут целенаправленную работу», направленную на снижение уровня поддержки военной операции на Украине среди россиян. «Усилия экстремистов направлены прежде всего на снижение уровня поддержки населением специальной военной операции»,— сообщил господин Патрушев в ходе совещания в Ульяновске (цитата по ТАСС).",https://www.kommersant.ru/doc/5887892,2023-03-21 13:48,Общество
В Крыму сделали выходными два православных и два мусульманских праздника,"В Крыму ввели четыре дополнительных выходных дня на религиозные праздники, сообщил на заседании совета министров РК глава региона Сергей Аксенов. По его словам, 17 апреля дополнительный выходной будет в связи с празднованием Пасхи, а 21 апреля крымчане будут отмечать мусульманский праздник Ураза-байрам.",https://www.kommersant.ru/doc/5887854,2023-03-21 13:36,Общество
Президент Тайваня полетит в Центральную Америку транзитом через США,"Президент Тайваня Цай Инвэнь совершит визит в Белиз и Гватемалу транзитом через США, сообщило Центральное информационное агентство острова. Деловая поездка главы Тайваня запланирована на конец марта.",https://www.kommersant.ru/doc/5887877,2023-03-21 13:25,Мир
"Песков усомнился, что российские бизнесмены заинтересуются схемой снятия санкции Макфола","Пресс-секретарь президента Дмитрий Песков прокомментировал предложение экс-посла США в России Майкла Макфола о порядке снятия санкций с российских бизнесменов. Он предложил попавшим под ограничения осудить российскую военную операцию и лично господина Путина, а также пожертвовать деньги на восстановление Украины.",https://www.kommersant.ru/doc/5887876,2023-03-21 13:19,Мир
Песков подтвердил обсуждение Путиным и Си китайского мирного плана по Украине,"Пресс-секретарь президента России Дмитрий Песков подтвердил, что Владимир Путин и председатель КНР Си Цзиньпин вчера, 20 марта, в ходе переговоров обсуждали предложенный китайской стороной мирный план по урегулированию конфликта на Украине. Однако о том, были ли приняты какие-то решения в соответствии с планом, он уточнять не стал.",https://www.kommersant.ru/doc/5887878,2023-03-21 13:18,Мир
«Беларусь-1»: у ликвидированного в Гродно террориста был поддельный паспорт РФ,Ликвидированный сотрудниками КГБ в Гродно иностранный гражданин имел при себе поддельный российский паспорт. Об этом сообщил телеканал «Беларусь-1».,https://www.kommersant.ru/doc/5887867,2023-03-21 13:12,Мир
Временного поверенного в делах Канады вызвали в МИД из-за слов о смене режима в России,"Временного поверенного в делах Канады Брайана Эбеля вчера, 20 марта, вызывали в МИД России из-за слов главы канадского МИДа Мелани Джоли о намерении добиваться смены режима в России. Канадскому дипломату был заявлен «решительный протест», заявили в дипведомстве.",https://www.kommersant.ru/doc/5887864,2023-03-21 13:07,Мир
Переговоры Михаила Мишустина и Си Цзиньпина завершились,"В Доме правительства завершились переговоры премьер-министра РФ Михаила Мишустина и председателя КНР Си Цзиньпина, сообщила пресс-служба российского правительства. Господин Мишустин поблагодарил председателя КНР за встречу и пожелал ему «хороших переговоров» с Владимиром Путиным.",https://www.kommersant.ru/doc/5887866,2023-03-21 12:59,Мир
"Сотрудники МЧС спасли 14 человек, попавших в метель на льду Байкала","Вечером 20 марта и в ночь на 21 марта сотрудники МЧС по Иркутской области спасли на льду Байкала несколько групп местных жителей общей численностью 14 человек. Как отмечает пресс-служба ведомства, все они попали в неблагоприятные погодные условия (метель), потеряли ориентиры и были вынуждены обратиться за помощью.",https://www.kommersant.ru/doc/5887831,2023-03-21 12:57,Происшествия
