Заголовок,Контент,Ссылка,Дата публикации,Категория
АТОР: на фоне ухода Booking.com доля прямых бронирований отелей удвоилась за 2022 год,"Доля онлайн-бронирований на сайтах отелей составила в 2022 году 52%, что почти в два раза больше, чем в 2021 году (24%), сообщает Ассоциация туроператоров России со ссылкой на данные исследования национального туроператора «Алеан» и компании TravelLine. В АТОР заявили, что рост этого показателя связан с уходом сервиса интернет-бронирования Booking.com с российского рынка.",https://www.kommersant.ru/doc/5843613,2023-02-28 15:10,Бизнес
Упоминание групп «Би-2» и «Сплин» убрали с афиши фестиваля «Брат-2: Живой Soundtrack»,"Упоминание рок-групп «Би-2» и «Сплин» убрали с афиши фестиваля «Брат-2: Живой Soundtrack», который пройдет 4 марта на площадке Music Media Dome в Москве. На это обратил внимание ТАСС.",https://www.kommersant.ru/doc/5843603,2023-02-28 15:06,Культура
Журналистку Юлию Старостину оштрафовали на 50 тыс. руб. за дискредитацию армии,Тверской районный суд Москвы оштрафовал журналистку Юлию Старостину на 50 тыс. руб. по ч. 1 ст.,https://www.kommersant.ru/doc/5843618,2023-02-28 14:56,Общество
Под обстрел попало село Устинка в Белгородской области,"Губернатор Белгородской области Вячеслав Гладков сообщил в своем Telegram-канале об обстреле вооруженными силами Украины приграничного Белгородского района. На этот раз снаряды упали в селе Устинка, расположенном у границы.",https://www.kommersant.ru/doc/5843602,2023-02-28 14:56,Происшествия
МВД предложило разрешить иностранцам краткосрочное пребывание в РФ на 90 дней в год,"МВД в рамках своего законопроекта, внесенного в правительство в сентябре 2022 года, предлагает ввести единый срок краткосрочного пребывания иностранцев в России. Он будет ограничен 90 днями в течение года, рассказали «РИА Новости» в ведомстве.",https://www.kommersant.ru/doc/5843609,2023-02-28 14:45,Общество
Суд обязал Siemens исполнить контракт на поставку 13 «Сапсанов» для РЖД,"Арбитражный суд Москвы обязал немецкую компанию Siemens Mobility GmbH выполнить обязательства по контракту, заключенному с РЖД 7 июня 2019 года, на поставку 13 электропоездов «Сапсан», сообщает «Интерфакс» со ссылкой на решение суда. Siemens Mobility — российская «дочка» немецкой компании Siemens.",https://www.kommersant.ru/doc/5843596,2023-02-28 14:44,Бизнес
Лавров: Москва не против внешних игроков в переговорах Баку и Еревана,"Россия верит в достижение мира между Азербайджаном и Арменией и не против участия внешних игроков в переговорах между двумя странами, заявил глава МИД РФ Сергей Лавров. Он считает важным, чтобы такое участие не было поводом для «геополитических игр».",https://www.kommersant.ru/doc/5843589,2023-02-28 14:21,Мир
В Подмосковье рядом с газовой компрессорной станцией упал беспилотник,"В деревне Габастово Коломенского района Московской области в 100 м от газовой компрессорной станции, принадлежащей «Газпрому», упал беспилотник. Откуда прилетел и кому принадлежал БПЛА, неизвестно.",https://www.kommersant.ru/doc/5843591,2023-02-28 14:15,Происшествия
Умер сценарист «Короля Льва» Барни Мэттинсон,"В возрасте 87 лет умер художник-мультипликатор и сценарист Барни Мэттинсон, сообщает Deadline. Причина смерти не уточняется.",https://www.kommersant.ru/doc/5843583,2023-02-28 14:10,Культура
«Сбер» опроверг информацию об утечке данных клиентов,"Информация о взломе систем Сбербанка и утечке данных клиентов банка не соответствует действительности, сообщила ТАСС пресс-служба компании. Ранее о том, что хакеры взломали сервисы Сбербанка, сообщило издание SOTA со ссылкой на главу Ассоциации профессиональных пользователей соцсетей и мессенджеров Владимира Зыкова.",https://www.kommersant.ru/doc/5843577,2023-02-28 14:06,Бизнес
