,Заголовок,Контент,Ссылка,Дата публикации,Категория
349,Крупный банк выступил генеральным партнером фестиваля «Йошкар-Ола театральная»,В Марий Эл состоялось торжественное открытие крупнейшего регионального фестиваля «Йошкар-Ола театральная». Ведущими творческими коллективами республики в рамках проекта на суд зрителей и профессионального жюри будут представлены лучшие театральные премьер,https://pg12.ru/news/72835,2023-03-21 13:22,Новости
359,Рок-фестиваль пройдет в тюрьмах Марий Эл,"
Рок-фестиваль пройдет в тюрьмах Марий ЭлКак он будет проходить В тюрьмах Марий Эл пройдет рок-фестиваль. Творческие коллективы исправительных учреждений представят плоды своего творчества. Об этом сообщают в пресс-службе УФСИН по Марий Эл. В каждом исправительном учреждении Марий Эл создан вокально-инструментальный ансамбль. Коллективы, участвующие в фестивале, выступят во всех исправительных колониях. Победителя выберут благодаря зрительскому голосованию. Чтобы провести такой рок-фестиваль, было продумано и создано специальное положение о проведении необычного ВИА- конкурса, который охватит все исправительные колонии. В рамках своеобразного турне по определенному графику осужденные посетят все режимные учреждения и представят зрителям свои программы. Отдельные бонусы участникам могут быть начислены за исполнение песен на национальном языке. После выступления всех коллективов пройдет голосование среди зрителей. Затем процесс повторится и в других колониях. После проведения всех туров и подсчета голосов будет определен победитель. Жюри запланировало и дополнительные номинации: за оригинальную аранжировку, за лучшую авторскую композицию, за музыкальный профессионализм – ни одна из примечательных особенностей не останется без судейского внимания. ",https://pg12.ru/news/72820,2023-03-21 08:32,Новости
367,"Какую профессию получить в Марий Эл, чтобы зарабатывать 57 тысяч в месяц","
Какую профессию получить в Марий Эл, чтобы зарабатывать 57 тысяч в месяц Стали известны отрасли с самыми высокими зарплатами. Об этом пишет РИА “Новости”. Самые высокие зарплаты получают специалисты, работающие в добывающей промышленности, а также в сферах интеллектуального труда и финансовых услуг. Рейтинг регионов по зарплатам в различных отраслях: Москва. Здесь сотрудники банковской системы получают в среднем 224 тысячи рублей; Сахалинская область. Труд в добывающей отрасли оплачивается чуть скромнее, чем в Москве; Ямало-Ненецкий автономный округ. Добыча нефти и газа тоже оплачивается чуть скромнее. Замыкают рейтинг сразу несколько регионов: Алтайский край, Псковская и Ивановская области, Калмыкия и Мордовия. Госслужащие, а именно их труд стоит дороже всего, получают выше 40 тысяч рублей. Республика Марий Эл в этом рейтинге регионов занимает 54 место. Самая высокооплачиваемая отрасль 2022 года - производство компьютеров, электронных и оптических изделий. В этой сфере специалисты получают 57 тысяч рублей. Комментировать в Telegram-канале:",https://pg12.ru/news/72814,2023-03-20 17:35,Новости
379,Йошкаролинка прошла опрос банка и лишилась денег,Мошеннические схемы подстерегают жителей Марий Эл в самых неожиданных местах.,https://www.marimedia.ru/news/crime/item/147828/,2023-03-21 13:29,Происшествия
383,Мошенники получили доступ к 17 аккаунтам жителей Марий Эл на портале Госуслуг,За четыре дня в Марий Эл в полицию обратились 17 человек с заявлениями о неправомерном доступе к их учётным записям Госуслуг.,https://www.marimedia.ru/news/crime/item/147844/,2023-03-21 12:01,Происшествия
420,В банковском секторе Марий Эл выявлено 12 поддельных денежных знаков,В IV квартале 2022 года в банковской системе Республики Марий Эл выявлено 12 поддельных денежных знаков Банка России.,https://potokmedia.ru/news/474095/strong-v-bankovskom-sektore-marij-el-vyyavleno-12-poddelnyh-denezhnyh-znakov-strong/,2023-03-21 05:50,новости
444,«Ростелеком» обеспечил мобильной связью 13 сёл и деревень в Республике Марий Эл,Доступ к мобильной связи четвертого поколения 4G/LTE получили 2 000 сельчан.,https://www.vnd12.ru/news/commercial/27712-rostelekom-obespechil-mobilnoy-svyazyu-13-sel-i-dereven-v-respublike-mariy-el.html,2023-03-20 19:32,Бизнес-новости
549,Мошенники получили доступ к 17 аккаунтам жителей Марий Эл на портале Госуслуг,За четыре дня в Марий Эл в полицию обратились 17 человек с заявлениями о неправомерном доступе к их учётным записям Госуслуг. Как это происходит? Аферисты под видом специалистов портала в телефонном звонке сообщают о поступившей заявке на оформление справки 2Н...,https://mariel-news.net/incident/2023/03/21/74066.html,2023-03-21 13:34,не указана
562,Мошенники получили неправомерный доступ к 17 аккаунтам портала Госуслуг,В МВД по Республике Марий Эл за четыре дня обратились 17 граждан с заявлениями о неправомерном доступе к учетным записям Государственных услуг. Аферисты под видом специалистов портала Госуслуг звонят потенциальной жертве и сообщают о поступившей заявке на офор...,https://mariel-news.net/incident/2023/03/21/74053.html,2023-03-21 11:34,не указана
575,В Марий Эл 55 выпускников будут сдавать ЕГЭ досрочно,20 марта начался досрочный период сдачи единого государственного экзамена. Сегодня выпускники сдают экзамены по географии и литературе. 23 марта участники досрочного периода смогут сдать ЕГЭ по русскому языку. 27 марта — по базовой и профильной математик...,https://mariel-news.net/other/2023/03/20/74040.html,2023-03-20 16:51,не указана
595,Мошенники получили доступ к 17 аккаунтам жителей Марий Эл на Госуслугах,В региональное МВД за четыре дня обратились 17 граждан с заявлениями о неправомерном доступе к учетным записям Государственных услуг.,https://metr12.ru/telekanal-metr/news/24171-moshenniki-poluchili-dostup-k-17-akkauntam-zhitelej-marij-jel-na-gosuslugah.html,2023-03-21 12:16,Лента новостей
